Gazepoint Analysis,v4.1.0
Processed on,Wed Nov 15 17:16:05 2017

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View (sec), Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 24, 16ba, M, 0, 16.658, 3.762, 0.016, 15.000, 12, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 25, 17ab, M, 0, 18.843, 0.542, 0.002, 4.000, 1, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 26, 18ba, M, 0, 18.268, 1.547, 0.006, 6.000, 7, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 27, 19ab, M, 0, 8.987, 20.933, 0.087, 45.000, 15, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 29, 20ba, M, 0, 0.428, 2.759, 0.011, 14.000, 11, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 6, 1ab, M, 0, 37.227, 13.734, 0.057, 29.000, 5, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 7, 2ab, M, 0, 15.771, 5.834, 0.024, 17.000, 9, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 8, 3ab, M, 0, 18.268, 2.448, 0.010, 8.000, 3, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 9, 4ba, M, 0, 17.989, 3.170, 0.013, 9.000, 4, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 10, 5ba, M, 0, 41.958, 22.177, 0.092, 47.000, 23, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 13, 6ba, M, 0, 17.627, 5.388, 0.022, 19.000, 5, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 14, 7ab, M, 0, 6.933, 19.089, 0.080, 52.000, 16, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 15, 8ba, M, 0, 18.416, 2.759, 0.011, 8.000, 1, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 17, 9ab, M, 0, 3.893, 1.429, 0.006, 4.000, 1, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 18, 10ba, M, 0, 40.250, 7.887, 0.033, 21.000, 9, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 19, 11ab, M, 0, 9.299, 3.713, 0.015, 10.000, 2, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 20, 12ba, M, 0, 18.482, 3.138, 0.013, 10.000, 7, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 21, 13ab, M, 0, 17.398, 1.709, 0.007, 5.000, 4, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 22, 14ba, M, 0, 23.460, 1.167, 0.005, 3.000, 0, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 23, 15ab, M, 0, 19.566, 6.460, 0.027, 17.000, 7, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 24, 16ba, M, 0, 18.580, 9.299, 0.039, 24.000, 12, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 25, 17ab, M, 0, 19.582, 4.615, 0.019, 14.000, 7, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 26, 18ba, M, 0, 20.601, 1.281, 0.005, 6.000, 4, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 27, 19ab, M, 0, 13.915, 10.776, 0.045, 28.000, 5, 
2, Vertical, 24000.000, 4, AOI 4, 0.000, 24000.000, 29, 20ba, M, 0, 31.608, 2.041, 0.009, 6.000, 6, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 6, 1ab, M, 0, 5.586, 2.036, 0.008, 12.000, 9, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 7, 2ab, M, 0, 0.164, 2.155, 0.009, 18.000, 16, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 8, 3ab, M, 0, 0.558, 2.630, 0.011, 16.000, 16, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 9, 4ba, M, 0, 0.575, 0.376, 0.002, 4.000, 3, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 10, 5ba, M, 0, 6.949, 2.186, 0.009, 10.000, 8, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 13, 6ba, M, 0, 0.443, 0.740, 0.003, 6.000, 8, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 14, 7ab, M, 0, 7.918, 2.774, 0.012, 19.000, 16, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 15, 8ba, M, 0, 5.306, 4.319, 0.018, 13.000, 9, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 17, 9ab, M, 0, 2.300, 0.884, 0.004, 6.000, 4, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 18, 10ba, M, 0, 10.218, 0.706, 0.003, 3.000, 3, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 19, 11ab, M, 0, 0.115, 4.929, 0.021, 14.000, 15, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 20, 12ba, M, 0, 0.526, 5.060, 0.021, 18.000, 6, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 21, 13ab, M, 0, 1.577, 1.064, 0.004, 3.000, 2, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 22, 14ba, M, 0, 0.476, 1.412, 0.006, 5.000, 5, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 23, 15ab, M, 0, 0.230, 2.102, 0.009, 5.000, 6, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 24, 16ba, M, 0, 0.000, 0.755, 0.003, 5.000, 5, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 25, 17ab, M, 0, 0.164, 3.483, 0.015, 14.000, 12, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 26, 18ba, M, 0, 0.000, 1.641, 0.007, 8.000, 5, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 27, 19ab, M, 0, 1.692, 3.286, 0.014, 15.000, 13, 
5, Horizontal, 24000.000, 5, AOI 5, 0.000, 24000.000, 29, 20ba, M, 0, 10.301, 2.284, 0.010, 12.000, 11, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 6, 1ab, M, 0, 12.633, 1.183, 0.005, 6.000, 4, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 7, 2ab, M, 0, 2.201, 1.085, 0.005, 9.000, 12, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 8, 3ab, M, 0, 7.048, 1.068, 0.004, 8.000, 6, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 9, 4ba, M, 0, -1.000, 0.000, 0.000, 0.000, 0, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 10, 5ba, M, 0, 9.874, 1.100, 0.005, 8.000, 7, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 13, 6ba, M, 0, 5.601, 2.416, 0.010, 9.000, 9, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 14, 7ab, M, 0, 9.250, 2.234, 0.009, 9.000, 8, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 15, 8ba, M, 0, 8.526, 0.313, 0.001, 1.000, 0, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 17, 9ab, M, 0, 6.144, 1.216, 0.005, 3.000, 2, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 18, 10ba, M, 0, 11.894, 0.312, 0.001, 1.000, 0, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 19, 11ab, M, 0, 9.840, 6.079, 0.025, 14.000, 9, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 20, 12ba, M, 0, 10.481, 0.756, 0.003, 4.000, 3, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 21, 13ab, M, 0, 2.251, 0.657, 0.003, 3.000, 5, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 22, 14ba, M, 0, 6.210, 0.345, 0.001, 2.000, 2, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 23, 15ab, M, 0, 8.083, 1.116, 0.005, 5.000, 3, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 24, 16ba, M, 0, 7.869, 0.213, 0.001, 2.000, 0, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 25, 17ab, M, 0, 7.426, 2.448, 0.010, 7.000, 3, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 26, 18ba, M, 0, 5.602, 1.446, 0.006, 4.000, 4, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 27, 19ab, M, 0, 4.534, 1.544, 0.006, 8.000, 5, 
5, Horizontal, 24000.000, 6, AOI 6, 0.000, 24000.000, 29, 20ba, M, 0, 11.829, 0.854, 0.004, 3.000, 4, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 6, 1ab, M, 0, 0.016, 13.944, 0.058, 48.000, 34, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 7, 2ab, M, 0, 0.329, 5.339, 0.022, 23.000, 19, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 8, 3ab, M, 0, 0.000, 2.385, 0.010, 14.000, 10, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 9, 4ba, M, 0, 0.000, 9.384, 0.039, 28.000, 11, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 10, 5ba, M, 0, 0.164, 19.450, 0.081, 50.000, 30, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 13, 6ba, M, 0, 0.000, 5.012, 0.021, 19.000, 15, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 14, 7ab, M, 0, 9.906, 13.473, 0.056, 47.000, 28, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 15, 8ba, M, 0, 9.383, 2.725, 0.011, 11.000, 10, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 17, 9ab, M, 0, 3.269, 2.562, 0.011, 11.000, 9, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 18, 10ba, M, 0, 0.033, 8.854, 0.037, 27.000, 14, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 19, 11ab, M, 0, 0.230, 11.304, 0.047, 29.000, 22, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 20, 12ba, M, 0, 0.000, 9.922, 0.041, 31.000, 10, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 21, 13ab, M, 0, 0.000, 4.766, 0.020, 11.000, 9, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 22, 14ba, M, 0, 0.000, 3.597, 0.015, 15.000, 7, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 23, 15ab, M, 0, 0.000, 5.502, 0.023, 14.000, 5, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 24, 16ba, M, 0, 4.189, 3.828, 0.016, 10.000, 4, 
5, Horizontal, 24000.000, 7, AOI 7, 0.000, 24000.000, 25, 17ab, M, 0, 0.000, 8.816, 0.037, 30.000, 16, 
